job_id,job_type,job_text,rank,resume_index,score,resume_domain,resume_preview
dataset_0,dataset,"10 + Blockchain Nodes / Masternodes to set up *Requirements*

We're looking for a long term collaboration with someone that has an experience in crypto, masternodes, nodes, validators etc. We need to set up:

Kyber Network
Nebulas
SecretNetwork
Tron
Aion
DeFiChain
EOS
TomoChain
Elrond
I",1,155,28.204382940361754,TEACHER,"Elementary Teaching Credential, University of Redlands (2008); B.A., Liberal Arts, California Baptist University (2006). Student-centered instruction, differentiated small-group learning (System 44), positive behavior reinforcement, strong classroom management, technology integration (iPads), organi"
dataset_0,dataset,"10 + Blockchain Nodes / Masternodes to set up *Requirements*

We're looking for a long term collaboration with someone that has an experience in crypto, masternodes, nodes, validators etc. We need to set up:

Kyber Network
Nebulas
SecretNetwork
Tron
Aion
DeFiChain
EOS
TomoChain
Elrond
I",2,183,27.333053536609285,TEACHER,"Associate of Arts — Business, Jones International University. Fifteen years of client-facing experience spanning customer service, telesales, account management, and training. Strengths include conflict resolution, active listening, problem solving, cash handling, inventory control, invoicing, datab"
dataset_0,dataset,"10 + Blockchain Nodes / Masternodes to set up *Requirements*

We're looking for a long term collaboration with someone that has an experience in crypto, masternodes, nodes, validators etc. We need to set up:

Kyber Network
Nebulas
SecretNetwork
Tron
Aion
DeFiChain
EOS
TomoChain
Elrond
I",3,152,23.659948768448526,TEACHER,"M.Ed., Teaching—Virginia Commonwealth University (2002); B.S., Psychology—Virginia Commonwealth University (2002, Cum Laude); A.A., Child Development—De Anza College (1998, Cum Laude). Virginia postgraduate professional license, curriculum development, long-term planning, critical thinking, mediatio"
dataset_0,dataset,"10 + Blockchain Nodes / Masternodes to set up *Requirements*

We're looking for a long term collaboration with someone that has an experience in crypto, masternodes, nodes, validators etc. We need to set up:

Kyber Network
Nebulas
SecretNetwork
Tron
Aion
DeFiChain
EOS
TomoChain
Elrond
I",4,190,21.04132899522399,TEACHER,"M.A. (Guidance & Counseling), University of Texas–Pan American (2002). B.A. in Psychology, University of Texas–Pan American (1996). Texas certifications: School Counselor PK–12 (2002), Secondary Spanish 6–12 (2004), Bilingual/ESL–Spanish PK–6 (1998). Seventeen years teaching and counseling experienc"
dataset_0,dataset,"10 + Blockchain Nodes / Masternodes to set up *Requirements*

We're looking for a long term collaboration with someone that has an experience in crypto, masternodes, nodes, validators etc. We need to set up:

Kyber Network
Nebulas
SecretNetwork
Tron
Aion
DeFiChain
EOS
TomoChain
Elrond
I",5,188,16.173875826602007,TEACHER,"Master’s in Education, Government College of Education (1992). Bachelor of Education, Government College of Education (1990). Bachelor of Science in Biology & Chemistry, University of Karachi (1986). Teacher of the Year (2009). Strengths in lesson planning, classroom management, differentiation, lea"
dataset_0,dataset,"10 + Blockchain Nodes / Masternodes to set up *Requirements*

We're looking for a long term collaboration with someone that has an experience in crypto, masternodes, nodes, validators etc. We need to set up:

Kyber Network
Nebulas
SecretNetwork
Tron
Aion
DeFiChain
EOS
TomoChain
Elrond
I",6,198,15.292390365844865,TEACHER,"B.S. Education, University of Central Missouri (in progress); A.A., Metropolitan Community College (2012); HS Diploma (2009). Tutoring, lesson facilitation, small-group instruction, MS Office, organized and punctual; 100+ hours classroom fieldwork (Algebra I, grades 6–8); created engaging math activ"
dataset_0,dataset,"10 + Blockchain Nodes / Masternodes to set up *Requirements*

We're looking for a long term collaboration with someone that has an experience in crypto, masternodes, nodes, validators etc. We need to set up:

Kyber Network
Nebulas
SecretNetwork
Tron
Aion
DeFiChain
EOS
TomoChain
Elrond
I",7,175,15.03333531273617,TEACHER,"M.S. Education — Liberty University (2017); B.S. Behavioral Science — Bluefield College (2009). Middle school ELA & Social Studies (U.S. History, Civics, Geography); curriculum design; assessment prep (Stanford, SOL); classroom management; IEP process knowledge; attendance/grade/records management; "
dataset_0,dataset,"10 + Blockchain Nodes / Masternodes to set up *Requirements*

We're looking for a long term collaboration with someone that has an experience in crypto, masternodes, nodes, validators etc. We need to set up:

Kyber Network
Nebulas
SecretNetwork
Tron
Aion
DeFiChain
EOS
TomoChain
Elrond
I",8,286,14.415465073763201,Research Assistant,"B.Sc. in CSE, United International Univ. (CGPA 3.99/4.0, 2020–24); Study in Canada Scholar, Concordia Univ. of Edmonton (Winter 2022, GPA 3.8) Skilled in AI, ML, CV, Research Design, Technical Writing, and Svelte-Kit. Publications in IEEE Access (EEG Motor Imagery, 2025), Elsevier CBM (GBDTSVM model"
dataset_0,dataset,"10 + Blockchain Nodes / Masternodes to set up *Requirements*

We're looking for a long term collaboration with someone that has an experience in crypto, masternodes, nodes, validators etc. We need to set up:

Kyber Network
Nebulas
SecretNetwork
Tron
Aion
DeFiChain
EOS
TomoChain
Elrond
I",9,301,13.803800653848262,Research Assistant,"B.Sc. in Computer Science & Engineering (CGPA 3.75, Honors), Chittagong Univ. of Engineering & Technology (2019–24); Thesis: Bangla Text-to-Speech & Voice Cloning Skilled in Python, C++, TensorFlow, PyTorch, React, Node, MongoDB. Published in EMNLP 2023 (Best Paper), NAACL 2025, ECCE 2025, CLEF 2024"
dataset_0,dataset,"10 + Blockchain Nodes / Masternodes to set up *Requirements*

We're looking for a long term collaboration with someone that has an experience in crypto, masternodes, nodes, validators etc. We need to set up:

Kyber Network
Nebulas
SecretNetwork
Tron
Aion
DeFiChain
EOS
TomoChain
Elrond
I",10,20,13.718506594193816,Banking,"B.S., Finance – Arizona State University, W.P. Carey School of Business; Magna Cum Laude, Dean’s List, Tempe Diablo’s Scholarship recipient. Investment banking solutions, financial modeling, due diligence, equity financing, credit analysis, M&A, client negotiation, project management, and sales stra"
dataset_6,dataset,"1806/03 Sales Manager **Requirements:**
•⠀Experience in IT sales 1+ year
•⠀Generic understanding of IT technologies and Software Development process
•⠀Knowledge of sales techniques, sales markets
•⠀Good communication and negotiation skills
•⠀Fluent written and good spoken English

**We offer:",1,183,60.78205745734559,TEACHER,"Associate of Arts — Business, Jones International University. Fifteen years of client-facing experience spanning customer service, telesales, account management, and training. Strengths include conflict resolution, active listening, problem solving, cash handling, inventory control, invoicing, datab"
dataset_6,dataset,"1806/03 Sales Manager **Requirements:**
•⠀Experience in IT sales 1+ year
•⠀Generic understanding of IT technologies and Software Development process
•⠀Knowledge of sales techniques, sales markets
•⠀Good communication and negotiation skills
•⠀Fluent written and good spoken English

**We offer:",2,1,51.79583496321265,Banking,"High School Diploma, Federal Way Senior High School, United States (2010 Strong leadership, team management, and client relations abilities. Skilled in supervision, staff training, multitasking, and decision-making under pressure. Proficient in recruiting, sales growth strategies, performance planni"
dataset_6,dataset,"1806/03 Sales Manager **Requirements:**
•⠀Experience in IT sales 1+ year
•⠀Generic understanding of IT technologies and Software Development process
•⠀Knowledge of sales techniques, sales markets
•⠀Good communication and negotiation skills
•⠀Fluent written and good spoken English

**We offer:",3,5,49.9637628916094,Banking,"High School Diploma (Math), University of California, Riverside — United States. Microsoft Excel/Word/Outlook; customer engagement; prospecting and sourcing small-business clients; risk/loss mitigation; cash handling; coaching/mentoring; bilingual English–Spanish (reading/writing); Notary Public. Re"
